Iteration,[DT]->[A],[DT]->[The],[DT]->[tall],[DT]->[boy],[DT]->[house],[JJ]->[A],[JJ]->[The],[JJ]->[tall],[JJ]->[boy],[JJ]->[house],[NN]->[A],[NN]->[The],[NN]->[tall],[NN]->[boy],[NN]->[house]
178,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
179,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
180,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
181,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
182,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
183,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
184,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
185,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
186,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
187,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
188,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
189,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
190,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
191,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
192,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
193,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
194,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
195,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
196,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
197,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
198,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
199,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
200,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
201,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
202,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
203,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
204,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
205,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
206,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
207,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
208,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
209,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
210,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
211,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
212,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
213,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
214,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
215,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
216,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
217,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
218,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
219,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
220,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
221,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
222,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
223,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
224,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
225,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
226,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
227,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
228,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
229,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
230,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
231,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
232,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
233,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
234,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
235,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
236,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
237,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
238,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
239,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
240,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
241,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
242,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
243,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
244,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
245,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
246,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
247,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
248,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
249,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
250,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
251,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
252,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
253,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
254,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
255,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
256,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
257,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
258,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
259,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
260,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
261,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
262,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
263,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
264,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
265,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
266,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
267,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
268,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
269,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
270,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
271,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
272,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
273,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
274,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
275,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
276,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
277,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
278,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
279,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
280,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
281,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
282,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
283,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
284,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
285,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
286,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
287,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
288,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
289,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
290,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
291,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
292,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
293,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
294,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
295,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
296,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
297,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
298,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
299,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
300,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
301,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
302,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
303,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
304,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
305,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
306,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
307,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
308,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
309,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
310,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
311,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
312,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
313,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
314,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
315,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
316,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
317,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
318,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
319,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
320,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
321,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
322,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
323,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
324,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
325,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
326,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
327,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
328,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
329,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
330,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
331,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
332,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
333,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
334,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
335,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
336,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
337,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
338,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
339,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
340,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
341,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
342,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
343,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
344,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
345,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
346,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
347,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
348,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
349,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
350,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
351,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
352,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
353,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
354,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
355,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
356,0.069855,0.035254,0.000000,0.598440,0.296451,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
357,0.594742,0.300149,0.000000,0.070289,0.034819,0.000000,0.250000,0.500000,0.000000,0.250000,0.333333,0.166667,0.000000,0.333333,0.166667
